"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ052R710622","ECVT27-370","HY-CAP WEC2R7106QG-L (1030)","V-26","VVT_F1","2026-08-13","1963.99997","1","2026-08-13 18:52:46"
"VVQQ073R072733","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-13","1068.00000","","2026-08-14 06:28:31"
"VVQQ113R060649","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:46:44"
"VVQQ113R060650","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-13","494.00000","","2026-08-13 17:51:56"
"VVQQ113R060654","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-14 02:35:25"
"VVQQ113R060658","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-14 02:41:58"
"VVQQ143R060658","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","493.00000","1","2026-08-13 19:34:14"
"VVQQ143R060662","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","493.00000","1","2026-08-13 16:58:37"
"VVQQ143R060680","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 23:13:29"
"VVQQ143R060681","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:56:58"
"VVQQ143R060682","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 16:59:08"
"VVQQ143R060683","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:14:30"
"VVQQ143R060685","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:13:44"
"VVQQ143R060688","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:56:36"
"VVQQ143R060690","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:02"
"VVQQ143R060695","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 19:27:18"
"VVQQ143R060696","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:48"
"VVQQ143R060697","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:54"
"VVQQ143R060698","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:57:20"
"VVQQ153R060641","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:28"
"VVQQ153R060643","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:14:14"
"VVQQ153R060645","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 16:58:58"
"VVQQ153R0606A0","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 16:58:48"
