"Barcode","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ033R072707","V-26","VVT_F1","2026-08-11","1072.00000","","2026-08-11 16:59:47"
"VVQQ043R072708","V-26","VVT_F1","2026-08-11","1071.00000","","2026-08-11 17:02:01"
"VVQQ043R072709","V-26","VVT_F1","2026-08-11","1065.00000","","2026-08-11 16:59:25"
"VVQQ043R072710","V-26","VVT_F1","2026-08-11","1071.00000","","2026-08-12 05:41:49"
"VVQQ053R072723","V-26","VVT_F1","2026-08-11","1073.00000","","2026-08-11 19:54:32"
"VVQQ073R060674","V-26","VVT_F1","2026-08-11","500.00000","","2026-08-11 20:11:27"
"VVQQ082R710618","V-26","VVT_F1","2026-08-11","1982.00000","1","2026-08-11 22:17:06"
"VVQQ083R072701","V-26","VVT_F1","2026-08-11","1065.00000","","2026-08-12 05:42:52"
"VVQQ083R072702","V-26","VVT_F1","2026-08-11","1071.00000","","2026-08-12 05:42:36"
"VVQQ112R710623","V-26","VVT_F1","2026-08-11","1982.00000","1","2026-08-13 04:48:31"
"VVQQ133R06069M","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 23:59:14"
"VVQQ133R0606A7","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 02:39:03"
"VVQQ133R0606A8","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 23:08:51"
"VVQQ133R0606AN","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 23:58:53"
"VVQQ133R0606AX","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 23:59:32"
"VVQQ143R060602","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 01:43:55"
"VVQQ143R060603","V-26","VVT_F1","2026-08-11","496.00000","1","2026-08-12 12:12:50"
"VVQQ143R060604","V-26","VVT_F1","2026-08-11","493.00000","1","2026-08-11 20:49:35"
"VVQQ143R060606","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 08:18:07"
"VVQQ143R060608","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 11:11:35"
"VVQQ143R060609","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 02:38:42"
"VVQQ143R060610","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 21:12:59"
"VVQQ143R060611","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 04:05:16"
"VVQQ143R060612","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 06:41:46"
"VVQQ143R060613","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 07:02:56"
"VVQQ143R060616","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 13:25:11"
"VVQQ143R060617","V-26","VVT_F1","2026-08-11","493.00000","1","2026-08-12 02:38:22"
"VVQQ143R060619","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 01:43:40"
"VVQQ143R060620","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 23:09:05"
"VVQQ143R060621","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 12:13:04"
"VVQQ143R060624","V-26","VVT_F1","2026-08-11","495.00000","1","2026-08-11 20:50:11"
"VVQQ143R060625","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-12 08:18:25"
"VVQQ143R060627","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 20:49:23"
"VVQQ143R060633","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 20:50:21"
"VVQQ143R060635","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 08:18:41"
"VVQQ143R060639","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 20:49:45"
"VVQQ143R060641","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 20:50:41"
"VVQQ143R060642","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 15:27:19"
"VVQQ143R060643","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 20:50:31"
"VVQQ143R060644","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 17:19:42"
"VVQQ143R060645","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 14:45:18"
"VVQQ143R060646","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 17:19:53"
"VVQQ143R060648","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 13:25:28"
"VVQQ143R060649","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-11 15:27:06"
"VVQQ143R060655","V-26","VVT_F1","2026-08-11","500.00000","1","2026-08-11 10:59:19"
"VVQQ143R060671","V-26","VVT_F1","2026-08-11","497.00000","1","2026-08-12 07:01:52"
"VVQQ153R060604","V-26","VVT_F1","2026-08-11","492.00000","1","2026-08-12 04:05:36"
"VVQQ053R072712","V-26_HY","VVT_F5","2026-08-11","1064.00000","","2026-08-12 07:39:42"
"VVQQ053R072715","V-26_HY","VVT_F5","2026-08-11","1057.00000","","2026-08-11 17:01:23"
"VVQQ053R072716","V-26_HY","VVT_F5","2026-08-11","1057.00000","","2026-08-12 05:44:42"
"VVQQ073R072711","V-26_HY","VVT_F5","2026-08-11","1060.00000","","2026-08-11 18:39:24"
"VVQQ063R072710","V-26","VVT_F1","2026-08-12","1073.00000","","2026-08-13 06:12:28"
"VVQQ063R072711","V-26","VVT_F1","2026-08-12","1073.00000","","2026-08-12 18:07:31"
"VVQQ063R072727","V-26","VVT_F1","2026-08-12","1067.00000","","2026-08-12 18:06:23"
"VVQQ063R072728","V-26","VVT_F1","2026-08-12","1070.00000","","2026-08-13 07:42:35"
"VVQQ063R072729","V-26","VVT_F1","2026-08-12","1070.00000","","2026-08-12 18:06:39"
"VVQQ063R072731","V-26","VVT_F1","2026-08-12","1068.00000","","2026-08-13 06:11:44"
"VVQQ073R072728","V-26","VVT_F1","2026-08-12","1070.00000","","2026-08-13 06:12:07"
"VVQQ073R072730","V-26","VVT_F1","2026-08-12","1071.00000","","2026-08-12 18:07:06"
