SP Export Summary - 04/13/2026 14:30:15
============================================================
       OK (162.9 KB) | usp_Vietnam_RawMaterialInputHist_uid
           NOT FOUND | usp_VietNam_RawMaterialInput_uid
        OK (12.4 KB) | usp_RawMaterialInputHist_get
        OK (20.0 KB) | usp_DoChangeMaterialDocLotInfo
         OK (7.6 KB) | fn_VVT_getdatebyVendorLot
         OK (5.6 KB) | usp_Vietnam_DoProcessProdPacking_VVT
         OK (5.1 KB) | usp_Vietnam_PackingQtyPerSize_popup
        OK (34.8 KB) | usp_Vietnam_GetBoxIDForLotNo_VVT
        OK (10.7 KB) | usp_savePackingLabelQty_VVT
         OK (6.6 KB) | usp_DayProdPlan_get
         OK (4.9 KB) | usp_SetInfo_get
        OK (37.0 KB) | usp_DayProdPlan_iud
         OK (1.6 KB) | usp_DoCancelDayProdPlan
         OK (1.6 KB) | usp_DoFixDayProdPlan
         OK (1.3 KB) | usp_DoFinishDayProdPlan
           NOT FOUND | usp_DoCreateSetInfoForProdCty_VNT
         OK (8.8 KB) | usp_GetProdRouteHistForBarcode_VNT
           NOT FOUND | usp_GetProdBarcodeForDefect_VNT
         OK (2.0 KB) | usp_WasteWeight_get
         OK (5.5 KB) | usp_DoProcessDefectRepairInfoByBarcode_SmartApp
        OK (18.1 KB) | usp_DoProcessProdRouteHistForCalc_SmartApp_VNT
         OK (0.9 KB) | usp_DoUpdateProdRouteHistMarkingLetter
         OK (0.8 KB) | usp_DoUpdateDRIExtText02_iud
           NOT FOUND | usp_InternProdQtyInfo_iud
         OK (4.2 KB) | usp_DoCreateTaktTimeForRoute
           NOT FOUND | usp_DoSplitLotAlignN
         OK (3.8 KB) | usp_AssyCardInfoCommon_get
         OK (4.2 KB) | usp_AssyCardInfoProdQty_get
           NOT FOUND | usp_AssyCardInfoDivn_get
           NOT FOUND | usp_GetRawMaterialLotFwBarcode_VNT_SF
         OK (9.4 KB) | usp_Set_VVT_Info_get
           NOT FOUND | usp_Set_VVT_Info_iud
         OK (4.6 KB) | usp_new_Tapping_VVT_get
        OK (16.2 KB) | usp_STB_BENDING_TAPPING
        OK (10.2 KB) | usp_new_Tapping_VVT_iud
         OK (1.2 KB) | usp_MarkingLabelPrintHistVVT_iud
         OK (3.1 KB) | usp_getAndon_v1
        OK (53.7 KB) | usp_vn_scrapafterproduction
        OK (12.2 KB) | usp_ModuleLotTrackingInfo_VVT2_get
        OK (10.8 KB) | fn_VVT_StagePricesMODULE
         OK (2.6 KB) | usp_VVT_checkHOLD_QC
         OK (9.2 KB) | usp_VVT_checkFIFO_FinishGood
         OK (2.4 KB) | usp_VN_Update_ExportExcel_BG
           NOT FOUND | usp_CommonInspTypeItem_get
           NOT FOUND | usp_DoCommonInspTypeItem_ud
           NOT FOUND | usp_CommonInspIndividualSpec_get
           NOT FOUND | usp_CommonInspIndividualSpec_ud
         OK (4.8 KB) | usp_MaterialMaster_get
           NOT FOUND | usp_MaterialMaster_ud
         OK (3.6 KB) | usp_ModelBasicInfo_get
           NOT FOUND | usp_ModelBasicInfo_ud
        OK (19.2 KB) | usp_ProductionOrderInfo_get
         OK (1.6 KB) | usp_GetMaterialGIForPO
         OK (0.9 KB) | usp_ProductionOrderRouting_get
           NOT FOUND | usp_DraftProductionOrder
        OK (12.6 KB) | usp_ProductionOrderRouting_iud
           NOT FOUND | usp_DoCenterPO
