04/23/2026 16:33:55 - RESUME EXPORT: 2720 remaining out of 3245 total
04/23/2026 16:34:28 - Progress: 575/3245 (17.7%) | Exported: 50 | Failed: 20
04/23/2026 16:35:21 - Progress: 625/3245 (19.3%) | Exported: 100 | Failed: 20
04/23/2026 16:36:15 - Progress: 675/3245 (20.8%) | Exported: 150 | Failed: 20
04/23/2026 16:37:41 - Progress: 725/3245 (22.3%) | Exported: 200 | Failed: 21
04/23/2026 16:37:53 - Progress: 775/3245 (23.9%) | Exported: 250 | Failed: 21
04/23/2026 16:38:01 - Progress: 825/3245 (25.4%) | Exported: 300 | Failed: 21
04/23/2026 16:38:09 - Progress: 875/3245 (27%) | Exported: 350 | Failed: 21
04/23/2026 16:38:15 - Progress: 925/3245 (28.5%) | Exported: 400 | Failed: 21
04/23/2026 16:38:22 - Progress: 975/3245 (30%) | Exported: 450 | Failed: 21
04/23/2026 16:38:32 - Progress: 1025/3245 (31.6%) | Exported: 500 | Failed: 25
04/23/2026 16:38:42 - Progress: 1075/3245 (33.1%) | Exported: 550 | Failed: 25
04/23/2026 16:38:49 - Progress: 1125/3245 (34.7%) | Exported: 600 | Failed: 25
04/23/2026 16:38:55 - Progress: 1175/3245 (36.2%) | Exported: 650 | Failed: 25
04/23/2026 16:39:02 - Progress: 1225/3245 (37.8%) | Exported: 700 | Failed: 25
04/23/2026 16:39:09 - Progress: 1275/3245 (39.3%) | Exported: 750 | Failed: 25
04/23/2026 16:39:16 - Progress: 1325/3245 (40.8%) | Exported: 800 | Failed: 25
04/23/2026 16:39:23 - Progress: 1375/3245 (42.4%) | Exported: 850 | Failed: 25
04/23/2026 16:39:33 - Progress: 1425/3245 (43.9%) | Exported: 900 | Failed: 25
04/23/2026 16:39:41 - Progress: 1475/3245 (45.5%) | Exported: 950 | Failed: 25
04/23/2026 16:39:47 - Progress: 1525/3245 (47%) | Exported: 1000 | Failed: 25
04/23/2026 16:39:57 - Progress: 1575/3245 (48.5%) | Exported: 1050 | Failed: 25
04/23/2026 16:40:05 - Progress: 1625/3245 (50.1%) | Exported: 1100 | Failed: 25
04/23/2026 16:40:14 - Progress: 1675/3245 (51.6%) | Exported: 1150 | Failed: 25
04/23/2026 16:40:27 - Progress: 1725/3245 (53.2%) | Exported: 1200 | Failed: 25
04/23/2026 16:40:36 - Progress: 1775/3245 (54.7%) | Exported: 1250 | Failed: 25
04/23/2026 16:40:46 - Progress: 1825/3245 (56.2%) | Exported: 1300 | Failed: 25
04/23/2026 16:40:54 - Progress: 1875/3245 (57.8%) | Exported: 1350 | Failed: 25
04/23/2026 16:41:02 - Progress: 1925/3245 (59.3%) | Exported: 1400 | Failed: 25
04/23/2026 16:41:09 - Progress: 1975/3245 (60.9%) | Exported: 1450 | Failed: 25
04/23/2026 16:41:17 - Progress: 2025/3245 (62.4%) | Exported: 1500 | Failed: 25
04/23/2026 16:41:24 - Progress: 2075/3245 (63.9%) | Exported: 1550 | Failed: 25
04/23/2026 16:41:31 - Progress: 2125/3245 (65.5%) | Exported: 1600 | Failed: 25
04/23/2026 16:41:39 - Progress: 2175/3245 (67%) | Exported: 1650 | Failed: 25
04/23/2026 16:41:46 - Progress: 2225/3245 (68.6%) | Exported: 1700 | Failed: 25
04/23/2026 16:41:55 - Progress: 2275/3245 (70.1%) | Exported: 1750 | Failed: 25
04/23/2026 16:42:02 - Progress: 2325/3245 (71.6%) | Exported: 1800 | Failed: 25
04/23/2026 16:42:09 - Progress: 2375/3245 (73.2%) | Exported: 1850 | Failed: 25
04/23/2026 16:42:17 - Progress: 2425/3245 (74.7%) | Exported: 1900 | Failed: 25
04/23/2026 16:42:24 - Progress: 2475/3245 (76.3%) | Exported: 1950 | Failed: 25
04/23/2026 16:42:31 - Progress: 2525/3245 (77.8%) | Exported: 2000 | Failed: 25
04/23/2026 16:42:39 - Progress: 2575/3245 (79.4%) | Exported: 2050 | Failed: 25
04/23/2026 16:42:48 - Progress: 2625/3245 (80.9%) | Exported: 2100 | Failed: 25
04/23/2026 16:42:55 - Progress: 2675/3245 (82.4%) | Exported: 2150 | Failed: 25
04/23/2026 16:43:05 - Progress: 2725/3245 (84%) | Exported: 2200 | Failed: 25
04/23/2026 16:43:11 - Progress: 2775/3245 (85.5%) | Exported: 2250 | Failed: 25
04/23/2026 16:43:17 - Progress: 2825/3245 (87.1%) | Exported: 2300 | Failed: 25
04/23/2026 16:43:24 - Progress: 2875/3245 (88.6%) | Exported: 2350 | Failed: 25
