STT,Đầu mục công việc,Người thực hiện,Thời hạn (Deadline),Trạng thái,Ghi chú
1,SpeedTest + Change device name BG1,"Hải, Thực, Đức",,Not Started,Kiểm tra toàn bộ điểm Wifi tại BG1; Đổi tên máy tính và kiểm tra bản quyền (sau 1 tuần xong phải có danh sách bài báo cáo).
2,Trao đổi với kế toán liên quan đến mạng VNPT,Hải,,Not Started,Làm việc với kế toán để kéo mạng VNPT trở lại.
3,Lên Form mua Switch,Hải,,Not Started,Thay mới Switch cho văn phòng Automation mới.
4,Báo cáo vấn đề mạng của BG1,Hải,1 tuần,Not Started,Theo dõi 1 tuần viết báo cáo nguyên nhân và giải pháp gửi Mr. Nha.
5,Set up đường dây tổng đài cho nhà máy BG1,Hải,,Not Started,Báo giá cho đội NS; Review với Mr. Nha trước khi gửi.
6,Kiểm kê tài sản kho hàng tháng -> Báo cáo,"Hải, Thực",25 hàng tháng,Not Started,Tổng hợp thiết bị tồn kho (tốt/hỏng) báo cáo Mr. Nha.
7,Đổi tên máy tính & quyền Admin (trừ máy HQ),"Đức, Thực",1 tuần,Not Started,Áp dụng tại BG1. Sau 1 tuần phải có danh sách người đã đổi và kiểm tra bản quyền.
8,Đi dây ESR (liên hệ a Điệp),"Hải, Thực, Đức",,Not Started,Hỗ trợ đi dây ESR tại chuyền mới; Báo cáo trực tiếp Mr. Điệp khi xong.
9,Set up thêm 3-4 điểm Wifi xưởng & phòng nghỉ,"Hải, Thực, Đức",,Not Started,Bổ sung hạ tầng Wifi cho nhà máy Bắc Giang 1.
10,Fix bug app cho đội Automation,"Triều, Tuân",,Not Started,Đưa chương trình lên Workstation; Nâng cấp lớn cần email Mr. Nha.
11,Checklist tiến độ triển khai tại Hà Nam,Trường,,Not Started,Báo cáo % hoàn thành công việc.
12,Quản lý MES tất cả nhà máy,Triều,,Not Started,Chịu trách nhiệm chính. Dừng hỗ trợ Power BI cho user.
13,Dev Power BI + Đồng bộ dữ liệu thiết kế,Thực,,Not Started,Phụ trách BG1, BN, BG2. Thay đổi lớn/tạo mới phải qua email (Mr. Jang chú ý).
14,Support User Audit,Triều,,Not Started,Hỗ trợ tại các nhà máy; Tập trung học Java để đi Hàn Quốc.
15,Dev App quản lý thiết bị Hưng Yên,"Triều, Tuân",1 tháng,Not Started,Tuân viết app dưới sự giám sát của Triều; Review sau 1 tháng.
16,Follow Groupware + Các Task Plan đang pending,Mạnh,,Not Started,Giải quyết lỗi mất kế hoạch ngày với EA Hàn; Hướng dẫn Đức Groupware.
17,Đào tạo MES,Triều,Cuối tuần/Chiều T2,Not Started,Đào tạo cho Thực, Đức, Tuân.
18,Rà soát ngôn ngữ ở Label,Mạnh,,Not Started,Chỉnh sửa ngôn ngữ; Gửi file Excel label thay đổi cho Mr. Nha khi xong.
19,Follow App trên máy Sorting,Đức,,Not Started,Kiểm tra dữ liệu tham vấn Mr. Trường nâng cấp. Báo cáo Mr. Mạnh.
